artist;song;duration_ms;explicit;year;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
Baha Men;Who Let The Dogs Out;198400;FALSO;2000;65;869;887;0;-4.505;1;993;605;0.0;148;784;129.221;R&B
Bomfunk MC's;Freestyler;306333;FALSO;2000;55;822;922;11;-5.798;0;989;291;0.325;252;568;163.826;pop
Bon Jovi;It's My Life;224493;FALSO;2000;78;551;913;0;-4.063;0;466;263;1.35e-05;347;544;119.992;rock, metal
Bow Wow;Bounce With Me (feat. Xscape) - Edited Album Version;175893;FALSO;2000;36;852;750;8;-5.153;1;168;434;0.0;265;934;72.016;hip hop, pop, R&B
Britney Spears;Oops!...I Did It Again;211160;FALSO;2000;77;751;834;1;-5.444;0;437;300;1.77e-05;355;894;95.053;pop
Britney Spears;Lucky;206226;FALSO;2000;65;765;791;8;-5.707;1;317;262;0.154;669;966;95.026;pop
Carl Thomas;I Wish;226760;FALSO;2000;52;736;666;1;-4.929;1;337;593;3.82e-05;107;224;89.824;pop, R&B
Craig David;7 Days;235133;FALSO;2000;70;659;812;4;-7.499;0;487;230;0.0;951;888;83.014;hip hop, pop, R&B
Craig David;Fill Me In;257200;FALSO;2000;60;682;744;8;-6.981;1;365;376;0.951;0.06;827;132.493;hip hop, pop, R&B
Craig David;Fill Me In;257200;FALSO;2000;60;682;744;8;-6.981;1;365;376;0.951;0.06;827;132.493;hip hop, pop, R&B
Da Brat;What'chu Like (feat. Tyrese);221160;VERDADERO;2000;53;879;681;10;-8.951;0;240;17;0.0;669;817;99.974;hip hop, pop, R&B
Debelah Morgan;Dance with Me;220106;FALSO;2000;49;850;674;7;-7.981;0;373;309;645;356;0.74;115.005;pop, R&B
Eminem;The Real Slim Shady;284200;VERDADERO;2000;86;949;661;5;-4.244;0;572;302;0.0;454;0.76;104.504;hip hop
Eminem;Stan;404106;VERDADERO;2000;83;780;768;6;-4.325;0;238;371;2.34e-06;518;507;80.063;hip hop
Enya;Only Time;218546;FALSO;2000;69;418;249;3;-13.744;1;301;841;661;112;213;82.803;World/Traditional, Folk/Acoustic
Erykah Badu;Bag Lady;348893;FALSO;2000;54;724;416;5;-8.964;0;841;365;0.0;969;578;151.181;hip hop, R&B
Fuel;Hemorrhage (In My Hands);236866;FALSO;2000;49;313;831;1;-3.894;1;404;127;341;0.24;332;152.034;rock, pop, metal
Jagged Edge;Promise;246720;FALSO;2000;56;751;568;5;-5.431;0;872;136;0.0;288;646;128.002;hip hop, pop, R&B
Jagged Edge;He Can't Love U;244053;FALSO;2000;55;721;836;8;-3.972;0;206;112;0.0;235;508;126.279;hip hop, pop, R&B
JAY-Z;I Just Wanna Love U (Give It 2 Me);227866;VERDADERO;2000;59;800;922;4;-5.125;0;240;301;9.31e-06;352;801;98.631;hip hop
Joe;I Wanna Know;296693;FALSO;2000;65;725;487;8;-5.959;0;368;260;1.09e-05;431;599;136.086;pop, R&B
Joe;Stutter (feat. Mystikal) - Double Take Remix;213026;FALSO;2000;57;767;759;6;-6.516;1;117;513;0.0;0.31;677;89.989;pop, R&B
Kandi;Don't Think I'm Not;243533;FALSO;2000;55;859;622;11;-8.196;1;445;661;0.0;394;433;134.007;pop, R&B
Kylie Minogue;Spinning Around;207866;FALSO;2000;55;761;662;6;-7.645;0;548;292;6.19e-05;956;631;120.043;pop, Dance/Electronic
Kylie Minogue;Spinning Around;207866;FALSO;2000;55;761;662;6;-7.645;0;548;292;6.19e-05;956;631;120.043;pop, Dance/Electronic
Lenny Kravitz;Again;231666;FALSO;2000;68;550;804;2;-5.218;1;271;148;4.33e-05;105;789;79.166;rock, pop
Lifehouse;Hanging By A Moment;216360;FALSO;2000;61;537;858;1;-4.903;1;349;966;0.0;812;502;124.599;pop, rock, metal
Limp Bizkit;Rollin' (Air Raid Vehicle);213760;VERDADERO;2000;73;603;933;1;-3.358;1;171;591;0.0;206;709;96.306;metal
Limp Bizkit;Take A Look Around;321040;FALSO;2000;72;425;852;11;-5.607;1;46;175;306;935;512;101.968;metal
Linkin Park;In the End;216880;FALSO;2000;83;556;864;3;-5.87;0;584;958;0.0;209;0.4;105.143;rock, metal
Linkin Park;In the End;216880;FALSO;2000;83;556;864;3;-5.87;0;584;958;0.0;209;0.4;105.143;rock, metal
Ludacris;Southern Hospitality (Featuring Pharrell);300933;VERDADERO;2000;54;623;896;0;-4.719;1;247;35;0.0;941;613;95.158;hip hop, pop
M.O.P.;Cold as Ice;244466;VERDADERO;2000;54;656;880;11;-5.425;0;143;421;0.0;294;758;85.565;hip hop
MÃ½a;Case Of The Ex (Whatcha Gonna Do);236906;FALSO;2000;59;772;688;1;-4.715;0;405;548;9.79e-05;725;348;98.0;pop, R&B
Madonna;Music;225973;FALSO;2000;58;736;802;7;-8.527;1;663;149;876;0.14;871;119.854;pop
Madonna;American Pie;273533;FALSO;2000;58;631;734;5;-7.48;0;36;348;0.0;135;591;124.036;pop
Madonna;Don't Tell Me;280973;FALSO;2000;53;699;618;7;-7.338;1;594;502;925;914;679;99.965;pop
Mary Mary;Shackles (Praise You);198346;FALSO;2000;64;779;834;7;-2.773;1;162;343;0.0;886;0.8;100.46;R&B
Matchbox Twenty;Bent;256133;FALSO;2000;54;518;830;6;-6.814;0;386;404;3.85e-06;375;527;95.468;pop, rock
Moloko;The Time Is Now;318280;FALSO;2000;54;682;743;9;-10.644;0;165;0.35;129;277;546;127.962;pop, Dance/Electronic
Musiq Soulchild;Love;304666;FALSO;2000;0;569;385;1;-9.919;0;499;342;0.0;876;339;99.738;pop, R&B
Mystikal;Shake Ya Ass;256973;VERDADERO;2000;57;914;607;7;-5.658;1;0.32;626;0.0;515;666;98.054;hip hop, pop
Nelly;Ride Wit Me;291781;VERDADERO;2000;75;850;700;7;-6.49;1;478;616;1.8e-06;244;722;101.875;hip hop, pop, R&B
